,country
0,Abkhazia
1,Brunei
2,Cape Colony
3,Carniolan
4,Channel Islands
5,Chechen
6,"China, Hong Kong SAR"
7,"China, Macao SAR"
8,"Congo, Dem. Rep."
9,"Congo, Dem. Rep. of"
10,Cook Island
11,Cote d'Ivoire
12,Curacao
13,Czech Republic
14,Czechia
15,Dagestani
16,East Timorese
17,El Salvador
18,Faroese
19,French Polynesia
20,Georgia
21,Greenlandic
22,Guam
23,Guernsey
24,Hondura
25,Honduras
26,Incan
27,Ivorian
28,Jersey
29,Macedonia
30,Mayotte
31,Montserratian
32,New Caledonia
33,Niuean
34,North Macedonia
35,Oman
36,Omani
37,Ossetian
38,Palau
39,Palauan
40,Pitcairn Islands
41,Puerto Rico
42,Reunion
43,Rhodesian
44,Rojava
45,Saint Kitts and Nevis
46,Saint Lucia
47,Saint Lucian
48,Saint Vincent and the Grenadines
49,Salvadoran
50,Samoa
51,Samoan
52,Somaliland
53,South African Republic
54,South Korean
55,South Ossetian
56,St. Kitts-Nevis
57,St. Vincent and the Grenadines
58,Swaziland
59,Timor-Leste
60,Tokelauan
61,Western Sahara
62,eSwatini
